strategy_id,symbol,avg_return_pct,med_return_pct,exp_return_pct_per_signal
S001,A,0.18623696027850062,0.01399404889442149,0.01717565609832937
S002,A,0.2842657953034915,-0.032907638491511605,0.02311433713594724
S003,A,0.6402247260968383,0.2060960888042317,0.029211774574760686
S004,A,0.10254909519724414,0.0072958876616609205,0.011700232337940607
S005,A,0.20216102845944484,-0.0037561241742399333,0.02531807946550922
S006,A,0.2600761303115437,-0.012918998716924444,0.03416628665474413
S007,A,0.20216102845944484,-0.0037561241742399333,0.02531807946550922
S008,A,-0.032387071413490724,-0.12137312537234579,-0.004030131519442489
S009,A,0.052814597385931375,-0.22180195024485574,0.015725694727271703
S010,A,0.20216102845944484,-0.0037561241742399333,0.02531807946550922
S011,A,-0.08634649877889314,-0.18718725340889758,-0.01824626513297742
S012,A,-0.16352658496983072,-0.2225448215368549,-0.02532221371734319
S013,A,0.18623696027850062,0.01399404889442149,0.01717565609832937
S014,A,0.20216102845944484,-0.0037561241742399333,0.02531807946550922
S015,A,0.0,0.0,0.0
S016,A,0.0,0.0,0.0
S017,A,1.1743758073487944,0.8655103988318139,0.20098377911002857
S018,A,0.6899612844735836,0.554928914019536,0.12649290215349032
S019,A,0.29431850526144715,0.22055892200264562,0.005910010145812192
S020,A,0.0,0.0,0.0
S021,A,0.06355407113615041,0.1907801697367657,0.004776454723238718
S022,A,-0.04891663299231194,0.2091652132473069,-0.006133588178310616
S023,A,-0.7813742253612523,-0.21654590897867834,-0.16770060025441974
S024,A,-1.0624040946053281,0.031480596297378885,-0.19109623971487702
S028,A,-0.7050117812187187,-0.1470739470552088,-0.6431686425153222
S029,A,0.5677908843571389,0.6310075661857572,0.514080935836869
S030,A,0.571200841882736,0.5647573465288849,0.5117007541866176
S031,A,-0.7813742253612523,-0.21654590897867834,-0.16770060025441974
S032,A,-0.5699517544690121,-0.11090538316684824,-0.10314140328862821
S033,A,0.06355407113615041,0.1907801697367657,0.004776454723238718
S034,A,-0.04891663299231194,0.2091652132473069,-0.006133588178310616
S035,A,0.06355407113615041,0.1907801697367657,0.004776454723238718
S036,A,-0.0029934444777048,0.006805184714973541,-0.00010708256668212293
S037,A,0.06355407113615041,0.1907801697367657,0.004776454723238718
S038,A,-0.04891663299231194,0.2091652132473069,-0.006133588178310616
S130,A,-0.7813742253612523,-0.21654590897867834,-0.16770060025441974
S131,A,-0.017329221570102055,-0.12011655640450941,-0.0019218343883784725
S136,A,-0.7813742253612523,-0.21654590897867834,-0.16770060025441974
S137,A,0.0,0.0,0.0
S144,A,-0.7813742253612523,-0.21654590897867834,-0.16770060025441974
S145,A,0.38623183096454894,-0.38581108134057895,0.38623183096454894
