strategy_id,strategy_name,symbol,signals,filled,win_rate,avg_return_pct,med_return_pct,exp_return_pct_per_signal,exp_pnl_per_signal,total_pnl
S173,MomReversal long call,AAPL,12,12,0.8333333333333334,2.344356388357114,1.2040528187630615,2.344356388357114,276.38549036661743,3316.6258843994087
S174,RubberBand long call EOD,AAPL,14,14,0.7142857142857143,0.5305739563418195,0.18011013568641765,0.5305739563418195,168.79227900138153,2363.0919060193414
S165,GapDown long call 3 DTE,AAPL,13,13,0.46153846153846156,0.5897710003405733,-0.2586611319390399,0.5897710003405733,109.93180165995699,1429.1134215794407
S166,GapDown strong call,AAPL,7,7,0.5714285714285714,0.3047713544335081,0.14946273477662816,0.3047713544335081,91.03602333573306,637.2521633501315
S163,A1 GapDown ATM call EOD,AAPL,13,13,0.46153846153846156,0.34764484517340616,-0.1273722184742536,0.34764484517340616,99.55385611634222,1294.2001295124485
S173,MomReversal long call,MSFT,11,11,0.7272727272727273,0.6969994065754986,0.27017399757418964,0.6969994065754986,159.06776589133503,1749.7454248046852
S174,RubberBand long call EOD,MSFT,10,10,0.6,0.12750628745797865,0.16241687928758786,0.12750628745797865,81.60338057882478,816.033805788248
S165,GapDown long call 3 DTE,MSFT,15,15,0.26666666666666666,-0.1622797001572135,-0.5121498813747503,-0.1622797001572135,-81.88710576021755,-1228.3065864032637
S166,GapDown strong call,MSFT,7,7,0.2857142857142857,-0.11201378848053636,-0.35477951679366027,-0.11201378848053636,-78.6689298507481,-550.6825089552365
S163,A1 GapDown ATM call EOD,MSFT,15,15,0.3333333333333333,-0.10685681281593769,-0.31068803326868577,-0.10685681281593769,-82.13914293935272,-1232.0871440902908
S173,MomReversal long call,NVDA,32,32,0.8125,3.0053411098470852,1.892456608512811,3.0053411098470852,211.0728704547883,6754.331854553225
S174,RubberBand long call EOD,NVDA,36,36,0.7777777777777778,0.8257242686837064,0.5275627388628816,0.8257242686837064,152.71192477888326,5497.629292039798
S165,GapDown long call 3 DTE,NVDA,46,46,0.5,0.6365794625687274,-0.002005817331869098,0.6365794625687274,68.90495016111466,3169.6277074112745
S166,GapDown strong call,NVDA,17,17,0.5294117647058824,0.7621159711537945,0.523887027118401,0.7621159711537945,114.96960945585514,1954.4833607495373
S163,A1 GapDown ATM call EOD,NVDA,46,46,0.5217391304347826,0.3373083489589202,0.038161113182936954,0.3373083489589202,54.75950586786791,2518.9372699219234
S173,MomReversal long call,SPY,5,5,1.0,1.205650827882927,0.42806096761300655,1.205650827882927,362.85553540039064,1814.2776770019532
S174,RubberBand long call EOD,SPY,6,6,0.8333333333333334,0.2628941788854697,0.18977492131175216,0.2628941788854697,217.64545384006055,1305.8727230403633
S165,GapDown long call 3 DTE,SPY,6,6,0.5,0.04758968951309105,-0.24676987554806165,0.04758968951309105,11.193448145337584,67.16068887202545
S166,GapDown strong call,SPY,3,3,0.6666666666666666,0.33433360445029353,0.30535242220184755,0.33433360445029353,245.82400336145528,737.4720100843659
S163,A1 GapDown ATM call EOD,SPY,6,6,0.5,-0.019923540972998786,-0.15481713696041166,-0.019923540972998786,-29.58017699948371,-177.48106199690218
S173,MomReversal long call,JPM,13,13,0.6923076923076923,2.3133039037268803,0.5397558035714273,2.3133039037268803,304.5233552903393,3958.803618774411
S174,RubberBand long call EOD,JPM,15,15,0.7333333333333333,0.6567942351717865,0.2014777923593366,0.6567942351717865,233.19625063124343,3497.943759468651
S165,GapDown long call 3 DTE,JPM,12,12,0.5,0.7866613591196665,-0.0655811324773303,0.7866613591196665,164.82766143585565,1977.9319372302677
S166,GapDown strong call,JPM,2,2,0.0,-0.6636788526734916,-0.6636788526734916,-0.6636788526734916,-233.0014593744197,-466.0029187488394
S163,A1 GapDown ATM call EOD,JPM,12,12,0.5,0.4535329772216126,-0.006525359906495522,0.4535329772216126,145.76961160689902,1749.235339282788
