strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor
S209,Dark pool print call,flow_sentiment,AOS,dark_pool,669,32,0.3076923076923077,0.375,1.53952699796428,160.11080778828517,1.1793759711594392
S210,13F lag overlay,flow_sentiment,AOS,fundamental_lag,10771,337,0.09897209985315712,0.4065281899109792,-0.25291221433419925,-861.1660898079494,0.8829874275954028
S211,Fixed 1pct risk per trade,risk_overlay,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S212,Kelly half sizing,risk_overlay,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S213,Tier0 1 contract 75 max,risk_overlay,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S214,Tier1 2pct equity,risk_overlay,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S215,Max 3 concurrent,risk_overlay,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S216,Max 20pct premium at risk,risk_overlay,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S217,Stop minus 50pct premium,risk_overlay,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S218,Stop underlying minus 1pct,risk_overlay,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S219,Profit take plus 50pct,risk_overlay,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S220,Sector correlation cap,risk_overlay,AOS,gap_down,152,49,0.9423076923076923,0.5714285714285714,26.528669259882378,1379.4908015138835,3.017376255399028
S001,Long ATM call,directional_long,APA,momentum,6250,398,0.11593358578502767,0.49246231155778897,1.3877347494623875,4764.093394904374,1.8126109534598205
S002,Long OTM call 5pct,directional_long,APA,momentum,6250,238,0.08648255813953488,0.5084033613445378,1.0290772163301485,2832.0204993405687,2.095177964072246
S003,Long deep OTM call,directional_long,APA,momentum,6250,0,0.0,0.0,0.0,0.0,inf
S004,Long ITM call replacement,directional_long,APA,momentum,6250,530,0.13370332996972756,0.5339622641509434,2.191796630153717,8688.281841929333,1.9854915242534266
S005,Long ATM put,directional_long,APA,breakdown,5611,426,0.1415752741774676,0.5023474178403756,2.3183639595954824,6975.957154422805,2.0189352429447633
S006,Long OTM put hedge,directional_long,APA,breakdown,5611,246,0.10667823070251518,0.5203252032520326,2.0130355958906225,4642.060084123776,2.645058616438976
S007,Long put crash hedge,directional_long,APA,breakdown,5611,426,0.1415752741774676,0.5023474178403756,2.3183639595954824,6975.957154422805,2.0189352429447633
S008,Long call MA pullback,directional_long,APA,pullback_ma,1756,130,0.14541387024608501,0.4076923076923077,-0.7848208864501035,-701.6298724863925,0.7359852937672396
S009,Long call vol spike uptrend,directional_long,APA,volume_spike,578,31,0.26956521739130435,0.16129032258064516,-7.961233151359566,-915.5418124063501,0.24776618940259404
S010,Long put support break,directional_long,APA,breakdown,5611,426,0.1415752741774676,0.5023474178403756,2.3183639595954824,6975.957154422805,2.0189352429447633
S011,Long call RSI oversold,directional_long,APA,rsi_oversold,1313,153,0.21518987341772153,0.3006535947712418,-2.772180987875782,-1971.0206823796814,0.5104427716211953
S012,Long put RSI overbought,directional_long,APA,rsi_overbought,1598,177,0.18971061093247588,0.3559322033898305,-2.0725860037639228,-1933.7227415117407,0.5029724492049712
S013,Long call MACD bull cross,directional_long,APA,macd_bull,6250,398,0.11593358578502767,0.49246231155778897,1.3877347494623875,4764.093394904374,1.8126109534598205
S014,Long put MACD bear cross,directional_long,APA,macd_bear,5611,426,0.1415752741774676,0.5023474178403756,2.3183639595954824,6975.957154422805,2.0189352429447633
S015,Long call earnings drift,directional_long,APA,earnings_positive,1564,0,0.0,0.0,0.0,0.0,inf
S016,Long put guidance gap,directional_long,APA,earnings_negative,181,0,0.0,0.0,0.0,0.0,inf
S017,Long call sector leader,directional_long,APA,sector_leader,714,41,0.1872146118721461,0.7073170731707317,7.400783757451999,1620.7716428819879,26.782935667648072
S018,Long put sector laggard,directional_long,APA,sector_laggard,629,38,0.14232209737827714,0.868421052631579,9.85110593088912,2630.2452835473955,169.60239055252453
S019,Long call 52wk high BO,directional_long,APA,high_52w_break,214,6,0.044444444444444446,1.0,4.327869412801367,584.2623707281846,inf
S020,Long put 52wk low BD,directional_long,APA,low_52w_break,58,4,0.10810810810810811,1.0,26.88391978725795,994.7050321285441,inf
S021,Cash secured short put,directional_short,APA,support_retest,6250,212,0.0802118804388952,0.6132075471698113,0.08528505742063236,225.40840676273214,1.0993225820107952
S022,Covered short call,directional_short,APA,resistance_retest,5611,297,0.12237330037082818,0.6161616161616161,-0.6857435349883055,-1664.2995594166175,0.7288246345991543
S023,Short OTM put high IV,directional_short,APA,iv_rank_high,1441,66,0.18911174785100288,0.36363636363636365,-7.492963494205352,-2615.0442594776673,0.14418147596445127
S024,Short OTM call covered,directional_short,APA,iv_rank_high,1441,70,0.1917808219178082,0.4857142857142857,-5.886770929425762,-2148.6713892404036,0.28666817147078366
S028,Short put IV crush post event,directional_short,APA,post_event_iv,470,216,0.9152542372881356,0.4398148148148148,-26.608155305547918,-6279.524652109309,0.2178031337388534
S029,Short call failed BO,directional_short,APA,failed_breakout,299,119,0.9296875,0.9915966386554622,17.876475535776034,2288.188868579332,1588.7150107333016
S030,Short put failed BD,directional_short,APA,failed_breakdown,227,100,0.8849557522123894,0.94,15.43489267082915,1744.142871803694,427.3073063390159
S031,Short premium IV>80,directional_short,APA,iv_rank_high,1441,66,0.18911174785100288,0.36363636363636365,-7.492963494205352,-2615.0442594776673,0.14418147596445127
S032,Short premium term inverted,directional_short,APA,term_inverted,2319,130,0.17543859649122806,0.3076923076923077,-8.686483445693595,-6436.684233258955,0.09577383784514326
S033,Short put uptrend,directional_short,APA,uptrend,6250,212,0.0802118804388952,0.6132075471698113,0.08528505742063236,225.40840676273214,1.0993225820107952
