strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor,error
S001,Long ATM call,directional_long,ROST,momentum,5932.0,321.0,0.13237113402061856,0.5545171339563862,2.6460549905088313,6416.683351983917,1.8632028518586916,
S002,Long OTM call 5pct,directional_long,ROST,momentum,5932.0,221.0,0.09954954954954955,0.5339366515837104,1.6592914403873362,3683.6269976598855,1.9085859462816461,
S003,Long deep OTM call,directional_long,ROST,momentum,5932.0,27.0,0.03180212014134275,0.5185185185185185,0.09208098270156191,78.17675431362608,1.2794402433760832,
S004,Long ITM call replacement,directional_long,ROST,momentum,5932.0,375.0,0.14039685511044553,0.5733333333333334,2.882898245229319,7700.221213007513,1.6920066624626382,
S005,Long ATM put,directional_long,ROST,breakdown,4352.0,260.0,0.1716171617161716,0.5961538461538461,5.376744298964295,8145.7676129309075,2.415218895425725,
S006,Long OTM put hedge,directional_long,ROST,breakdown,4352.0,188.0,0.13202247191011235,0.5797872340425532,3.4466861068017005,4908.081016085623,2.729123233408289,
S007,Long put crash hedge,directional_long,ROST,breakdown,4352.0,260.0,0.1716171617161716,0.5961538461538461,5.376744298964295,8145.7676129309075,2.415218895425725,
S008,Long call MA pullback,directional_long,ROST,pullback_ma,1788.0,130.0,0.14857142857142858,0.43846153846153846,1.3503895340391143,1181.5908422842244,1.3263425910451319,
S009,Long call vol spike uptrend,directional_long,ROST,volume_spike,573.0,38.0,0.31666666666666665,0.5,2.9161311579610354,349.9357389553242,1.2179267453449787,
S010,Long put support break,directional_long,ROST,breakdown,4352.0,260.0,0.1716171617161716,0.5961538461538461,5.376744298964295,8145.7676129309075,2.415218895425725,
S011,Long call RSI oversold,directional_long,ROST,rsi_oversold,952.0,71.0,0.2581818181818182,0.2676056338028169,-7.944552886076825,-2184.752043671127,0.39069181115022755,
S012,Long put RSI overbought,directional_long,ROST,rsi_overbought,1702.0,139.0,0.20715350223546944,0.28776978417266186,-4.741596945859608,-3181.611550671797,0.4264530144410505,
S013,Long call MACD bull cross,directional_long,ROST,macd_bull,5932.0,321.0,0.13237113402061856,0.5545171339563862,2.6460549905088313,6416.683351983917,1.8632028518586916,
