strategy_id,strategy_name,symbol,signals,filled,win_rate,avg_return_pct,med_return_pct,exp_return_pct_per_signal,exp_pnl_per_signal,total_pnl
S173,MomReversal long call,A,193,61,0.8524590163934426,3.1474775229459317,2.037714542754699,3.1474775229459317,151.54317343790018,9244.133579711912
S174,RubberBand long call EOD,A,190,133,0.7894736842105263,0.8600035972673878,0.5504902248105735,0.7060523360281641,56.53438089166083,9158.569704449053
S165,GapDown long call 3 DTE,A,241,150,0.3933333333333333,0.32003399987121445,-0.41359166309600803,0.3117214284459881,19.27342580409352,2968.107573830401
S166,GapDown strong call,A,104,85,0.4235294117647059,0.19784385413220779,-0.1867910546560776,0.19109917728679163,21.699380263437664,1909.5454631825148
S163,A1 GapDown ATM call EOD,A,241,184,0.43478260869565216,0.15613206385513367,-0.19770212461642397,0.14013804755777853,11.09450804374719,2274.3741489681734
S173,MomReversal long call,AA,317,152,0.75,2.4138881192707857,1.9292895324107175,2.4138881192707857,76.17103913959704,11577.997949218752
S174,RubberBand long call EOD,AA,365,290,0.7413793103448276,0.6230584352236191,0.3732285640175538,0.5458820127336844,35.307517473295775,11686.7882836609
S165,GapDown long call 3 DTE,AA,460,356,0.398876404494382,0.18642581192428342,-0.38144446433785967,0.18283082381555069,9.140383763836061,3317.959306272492
S166,GapDown strong call,AA,217,181,0.47513812154696133,0.13398160875874804,-0.176079479949504,0.13251732888160325,10.611364837506233,1941.8797652636401
S163,A1 GapDown ATM call EOD,AA,460,391,0.4194373401534527,0.03290975508011364,-0.22562371556868838,0.03146140400079323,3.555780284400509,1454.3141363198074
S173,MomReversal long call,AAL,274,52,0.7884615384615384,2.0047323278341844,1.6111808971058232,1.966907189573162,50.51088973423219,2677.0771559143063
S174,RubberBand long call EOD,AAL,285,127,0.7401574803149606,0.6801167498919689,0.4608762816370526,0.5299069155600004,25.16886312883848,4102.524690000672
S165,GapDown long call 3 DTE,AAL,366,85,0.47058823529411764,0.3858526882765624,-0.09698141339044436,0.37698251153457246,13.297727398523971,1156.9022836715856
S166,GapDown strong call,AAL,172,69,0.42028985507246375,0.1553080143894889,-0.1610856291133924,0.14481422963344237,8.074685550335404,597.52673072482
S163,A1 GapDown ATM call EOD,AAL,366,141,0.44680851063829785,0.1412509885480849,-0.14397848446909264,0.1076561588393512,5.2776539280133035,976.3659766824609
S173,MomReversal long call,AAON,503,42,0.8809523809523809,3.1361288144037176,1.9904806941725832,3.1361288144037176,124.2226548476445,5217.35150360107
S174,RubberBand long call EOD,AAON,462,62,0.7741935483870968,1.10522111530228,0.5863502154717162,1.0227419275931546,77.78899285284697,5211.862521140748
S165,GapDown long call 3 DTE,AAON,586,73,0.4931506849315068,0.8816378851755434,-0.00943027493182591,0.8697238597001983,41.643624942874425,3081.628245772707
S166,GapDown strong call,AAON,309,37,0.5675675675675675,0.9415162137650397,0.126297406832303,0.9415162137650397,65.50404671364673,2423.649728404929
S163,A1 GapDown ATM call EOD,AAON,586,76,0.5394736842105263,0.47914718079832713,0.05529087841570817,0.4609517182363653,31.23599896957811,2467.643918596671
S173,MomReversal long call,AAPL,12,12,0.8333333333333334,2.344356388357114,1.2040528187630615,2.344356388357114,276.38549036661743,3316.6258843994087
