strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor
S001,Long ATM call,directional_long,A,momentum,3744,325,0.09222474460839955,0.5107692307692308,1.8592720999595567,6552.074880257477,1.84786559387457
S002,Long OTM call 5pct,directional_long,A,momentum,3744,228,0.08131241084165478,0.47368421052631576,1.589132050141706,4455.926268597344,2.0243034943015172
S003,Long deep OTM call,directional_long,A,momentum,3744,36,0.045627376425855515,0.5555555555555556,0.8311056987759515,655.7423963342256,3.3529426121939787
S004,Long ITM call replacement,directional_long,A,momentum,3744,425,0.11409395973154363,0.508235294117647,1.8355497178268276,6837.422698904932,1.5511790392993159
S005,Long ATM put,directional_long,A,breakdown,2931,330,0.1252371916508539,0.49696969696969695,2.8566609126394455,7527.301504804943,2.0988864692118856
S006,Long OTM put hedge,directional_long,A,breakdown,2931,232,0.13137032842582105,0.4827586206896552,2.530472894757612,4468.815132141945,2.140728344197773
S007,Long put crash hedge,directional_long,A,breakdown,2931,330,0.1252371916508539,0.49696969696969695,2.8566609126394455,7527.301504804943,2.0988864692118856
S008,Long call MA pullback,directional_long,A,pullback_ma,1153,138,0.12443642921550947,0.427536231884058,-0.8100475020499943,-898.3426797734427,0.790564160581138
S009,Long call vol spike uptrend,directional_long,A,volume_spike,190,53,0.29775280898876405,0.41509433962264153,3.6848297122592633,655.8996887821487,1.4101876970691043
S010,Long put support break,directional_long,A,breakdown,2931,330,0.1252371916508539,0.49696969696969695,2.8566609126394455,7527.301504804943,2.0988864692118856
S011,Long call RSI oversold,directional_long,A,rsi_oversold,683,127,0.2113144758735441,0.3700787401574803,-3.935486769534715,-2365.2275484903644,0.5360970686667254
S012,Long put RSI overbought,directional_long,A,rsi_overbought,1146,166,0.15485074626865672,0.2469879518072289,-3.920636399839758,-4202.92222062822,0.36355710548551745
S013,Long call MACD bull cross,directional_long,A,macd_bull,3744,325,0.09222474460839955,0.5107692307692308,1.8592720999595567,6552.074880257477,1.84786559387457
S014,Long put MACD bear cross,directional_long,A,macd_bear,2931,330,0.1252371916508539,0.49696969696969695,2.8566609126394455,7527.301504804943,2.0988864692118856
S015,Long call earnings drift,directional_long,A,earnings_positive,772,0,0.0,0.0,0.0,0.0,inf
S016,Long put guidance gap,directional_long,A,earnings_negative,104,0,0.0,0.0,0.0,0.0,inf
S017,Long call sector leader,directional_long,A,sector_leader,317,51,0.17114093959731544,0.9019607843137255,21.39166031439193,6374.7147736887955,318.91148143611167
S018,Long put sector laggard,directional_long,A,sector_laggard,327,55,0.18333333333333332,0.7818181818181819,18.29187295167296,5487.561885501888,54.10796721037166
S019,Long call 52wk high BO,directional_long,A,high_52w_break,249,5,0.020080321285140562,1.0,1.4263262884970795,355.1552458357728,inf
S020,Long put 52wk low BD,directional_long,A,low_52w_break,26,0,0.0,0.0,0.0,0.0,inf
S021,Cash secured short put,directional_short,A,support_retest,3744,193,0.07515576323987538,0.6476683937823834,0.5881589864447491,1510.3922771901161,1.4753417163682145
S022,Covered short call,directional_short,A,resistance_retest,2931,242,0.12538860103626942,0.6198347107438017,0.6004693421806971,1158.905830408745,1.2258071348337543
S023,Short OTM put high IV,directional_short,A,iv_rank_high,647,91,0.21462264150943397,0.3956043956043956,-9.540611750697158,-4045.219382295595,0.2664587337791133
S024,Short OTM call covered,directional_short,A,iv_rank_high,647,84,0.17987152034261242,0.5119047619047619,-9.493103355448703,-4433.279266994546,0.31104043169107864
S028,Short put IV crush post event,directional_short,A,post_event_iv,241,104,0.9122807017543859,0.4230769230769231,-23.91910567409668,-2726.7780468470214,0.36068477189027215
S029,Short call failed BO,directional_short,A,failed_breakout,105,67,0.9054054054054054,0.9850746268656716,33.29993838509506,2464.1954404970347,278062.3744677587
S030,Short put failed BD,directional_short,A,failed_breakdown,113,43,0.8958333333333334,1.0,32.04756357138784,1538.2830514266166,inf
S031,Short premium IV>80,directional_short,A,iv_rank_high,647,91,0.21462264150943397,0.3956043956043956,-9.540611750697158,-4045.219382295595,0.2664587337791133
S032,Short premium term inverted,directional_short,A,term_inverted,1166,135,0.18096514745308312,0.4444444444444444,-6.035685744197216,-4502.621565171124,0.33713131575933436
