ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail,order_id
2026-07-31 15:22:42.979850+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,705517ecc3d7,COIN,COIN260807C00162500,1,0.63,0.62,62.0,,,,-0.01,,0.75,-0.75,0.11570247933884308,gap -6.4%,f2192c18-2c8d-4eb8-acfc-27aedba76951
2026-07-31 17:55:56.323029+00:00,exit,807,lab0807_s404_w4_1120_1135_r2,S404,705517ecc3d7,COIN,COIN260807C00162500,1,,1.39,62.0,124.19,77.0,take_profit (+115.8%),,-0.01,0.5,-0.5,,,29ebb870-54f5-4374-afdb-dc2c05b1e5dd
2026-07-31 15:22:42.979850+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,269cf057bc5a,COIN,COIN260807C00162500,1,0.62,0.62,62.0,,,,-0.01,,0.5,-0.5,,,f2192c18-2c8d-4eb8-acfc-27aedba76951
2026-08-04 15:23:15.004800+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,0f60f5d4ec1e,AMZN,AMZN260807C00292500,1,0.55,0.54,54.0,,,,-0.01,,0.75,-0.75,0.09345794392523372,gap -2.8%,2d930da4-e47a-4f3f-a5d7-5e9a1ef94f7b
2026-08-04 15:23:15.004800+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,0f60f5d4ec1e,AMZN,AMZN260807C00292500,1,0.54,0.54,54.0,,,,-0.01,,0.5,-0.5,,,2d930da4-e47a-4f3f-a5d7-5e9a1ef94f7b
2026-08-04 15:23:15.004800+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,0f60f5d4ec1e,AMZN,AMZN260807C00292500,1,0.54,0.54,54.0,,,,-0.01,,0.5,-0.5,,,2d930da4-e47a-4f3f-a5d7-5e9a1ef94f7b
2026-08-04 15:23:15.004800+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,0f60f5d4ec1e,AMZN,AMZN260807C00292500,1,0.54,0.54,54.0,,,,-0.01,,0.5,-0.5,,,2d930da4-e47a-4f3f-a5d7-5e9a1ef94f7b
2026-08-10T13:00:47Z,reconcile,807,lab0807_s404_w4_1120_1135_r2,S404,0f60f5d4ec1e,AMZN,AMZN260807C00292500,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
2026-08-10 15:23:01.803953+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,0b75764623c9,TTD,TTD260814C00012500,1,0.6,0.59,59.0,,,,-0.01,,0.75,-0.75,0.1981981981981982,gap -2.4%,9f3f81b9-231d-488f-aa25-6e044b42e37b
2026-08-10 15:23:01.803953+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,0b75764623c9,TTD,TTD260814C00012500,1,0.59,0.59,59.0,,,,-0.01,,0.5,-0.5,,,9f3f81b9-231d-488f-aa25-6e044b42e37b
2026-08-11 15:05:56.979179+00:00,exit,807,lab0807_s404_w4_1120_1135_r2,S404,0b75764623c9,TTD,TTD260814C00012500,1,,1.13,59.0,91.53,54.0,take_profit (+67.0%),,-0.01,0.5,-0.5,,,5ce7e421-6e87-4849-851d-f641f637e859
2026-08-12 15:23:30.435698+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,06264d366907,PATH,PATH260814C00015500,1,0.18,0.17,17.0,,,,-0.01,,0.75,-0.75,0.17142857142857143,gap -2.6%,d4981788-8c21-4d62-8cda-582d2762d052
2026-08-12T21:09:12Z,reconcile,807,lab0807_s404_w4_1120_1135_r2,S404,06264d366907,PATH,PATH260814C00015500,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
2026-08-10 15:23:01.803953+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,c2606746cef1,TTD,TTD260814C00012500,1,0.59,0.59,59.0,,,,-0.01,,0.5,-0.5,,,9f3f81b9-231d-488f-aa25-6e044b42e37b
2026-09-01 15:21:58.930730+00:00,entry,807,lab0807_s404_w4_1120_1135_r2,S404,d464df0e55d4,SMCI,SMCI260904C00038000,1,0.62,0.62,62.0,,,,-0.01,,0.75,-0.75,0.11764705882352934,gap -2.3%,3c1e5760-4596-4106-86db-09c7b9dc938e
2026-09-02 13:35:06.076576+00:00,exit,807,lab0807_s404_w4_1120_1135_r2,S404,d464df0e55d4,SMCI,SMCI260904C00038000,1,,0.95,62.0,53.23,33.0,take_profit (+53.2%),,-0.01,0.5,-0.5,,,8cc31389-bc2d-4785-87bb-787a6b2ec9d0
