ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail,order_id
2026-07-31 15:33:41.984747+00:00,entry,115,lab0115_s212_w4_1120_1135_r2,S212,ecca44022085,OXY,OXY260807C00059000,1,0.61,0.61,61.0,,,,-0.01,,0.5,-0.5,0.10169491525423717,low=55.55 MA50=54.74 touch+green,83ebe2d3-6a08-4d01-b3e3-2ad6db5a8730
2026-08-03 13:46:32.822315+00:00,exit,115,lab0115_s212_w4_1120_1135_r2,S212,ecca44022085,OXY,OXY260807C00059000,1,,0.28,61.0,-54.1,-33.0,stop_loss (-56.5%),,-0.01,0.5,-0.5,,,52e18ec1-ea2e-4e2e-925d-1dc43c32f0c7
2026-08-03 15:21:39.308383+00:00,entry,115,lab0115_s212_w4_1120_1135_r2,S212,c5b1ab67a6ef,UBER,UBER260807C00078000,1,0.5,0.49,49.0,,,,-0.01,,0.75,-0.75,0.125,low=71.08 MA50=71.75 touch+green,3ebc13e6-439d-4c03-9587-5be57566638b
2026-07-31 15:33:41.984747+00:00,entry,115,lab0115_s212_w4_1120_1135_r2,S212,1cfa4ac1f06d,OXY,OXY260807C00059000,1,0.61,0.61,61.0,,,,-0.01,,0.5,-0.5,,,83ebe2d3-6a08-4d01-b3e3-2ad6db5a8730
2026-08-03 13:46:32.822315+00:00,exit,115,lab0115_s212_w4_1120_1135_r2,S212,c5b1ab67a6ef,UBER,UBER260807C00078000,1,,0.28,49.0,-42.86,-21.0,reconcile_fill,,-0.01,0.5,-0.5,,,52e18ec1-ea2e-4e2e-925d-1dc43c32f0c7
2026-08-03 15:21:39.308383+00:00,entry,115,lab0115_s212_w4_1120_1135_r2,S212,fd4c76939e24,UBER,UBER260807C00078000,1,0.49,0.49,49.0,,,,-0.01,,0.5,-0.5,,,3ebc13e6-439d-4c03-9587-5be57566638b
2026-08-03 15:21:39.308383+00:00,entry,115,lab0115_s212_w4_1120_1135_r2,S212,fd4c76939e24,UBER,UBER260807C00078000,1,0.49,0.49,49.0,,,,-0.01,,0.5,-0.5,,,3ebc13e6-439d-4c03-9587-5be57566638b
2026-08-05 14:12:26.168467+00:00,exit,115,lab0115_s212_w4_1120_1135_r2,S212,fd4c76939e24,UBER,UBER260807C00078000,1,,0.01,49.0,-97.96,-48.0,stop_loss (-100.0%),,-0.01,0.5,-0.5,,,46cf683f-8fab-4952-82ec-0d8634a84b70
2026-08-03 15:21:39.308383+00:00,entry,115,lab0115_s212_w4_1120_1135_r2,S212,7379bd3fd276,UBER,UBER260807C00078000,1,0.49,0.49,49.0,,,,-0.01,,0.5,-0.5,,,3ebc13e6-439d-4c03-9587-5be57566638b
2026-08-05 14:12:26.168467+00:00,exit,115,lab0115_s212_w4_1120_1135_r2,S212,7379bd3fd276,UBER,UBER260807C00078000,1,,0.01,49.0,-97.96,-48.0,reconcile_fill,,-0.01,0.5,-0.5,,,46cf683f-8fab-4952-82ec-0d8634a84b70
2026-08-05 15:27:18.051619+00:00,entry,115,lab0115_s212_w4_1120_1135_r2,S212,3b5b77dc410e,AAPL,AAPL260807C00317500,1,0.64,0.63,63.0,,,,-0.01,,0.5,-0.5,0.03125000000000003,low=305.67 MA50=309.62 touch+green,98ee763c-929c-4db8-879b-ecef3111d857
2026-08-06T14:06:47Z,reconcile,115,lab0115_s212_w4_1120_1135_r2,S212,3b5b77dc410e,AAPL,AAPL260807C00317500,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
