timestamp,mode,regime,equity,cash,signals,entries,exits,open_positions,tickers,universe
2026-05-06 16:07:07,exits,bull,516.46,419.99,0,0,1,2,ACGL|BKR,both
2026-05-06 16:13:50,exits,bull,100000.0,100000.0,0,0,0,0,,both
2026-05-06 16:15:08,exits,bull,100000.0,100000.0,0,0,0,0,,both
2026-05-09 16:09:01,crypto,crypto,100000.0,100000.0,0,0,0,0,,both
2026-05-09 16:11:51,crypto,crypto,100000.0,85000.0,5,5,0,0,,both
2026-05-09 16:16:01,crypto,crypto,99913.67,79303.87,5,2,0,0,,both
2026-05-09 16:18:08,crypto,crypto,99877.87,85268.88,5,0,0,0,,both
2026-05-09 16:21:31,crypto,crypto,99882.79,91115.79,5,0,0,0,,both
2026-05-09 16:23:52,crypto,crypto,99882.79,91115.79,5,0,0,0,,both
2026-05-09 16:30:32,crypto,crypto,99931.17,91115.79,5,0,0,0,,both
2026-05-09 16:33:28,crypto,crypto,99921.6,91115.79,5,0,0,0,,both
2026-05-09 16:40:15,crypto,crypto,99887.64,91115.79,5,0,0,0,,both
2026-05-09 16:45:26,crypto,crypto,99883.87,91115.79,5,0,0,0,,both
2026-05-09 17:00:30,crypto,crypto,99882.6,91115.79,5,0,0,0,,both
2026-05-09 17:02:25,crypto,crypto,99882.6,91115.79,5,0,0,0,,both
2026-05-09 17:15:30,crypto,crypto,99937.34,91115.79,5,0,0,0,,both
2026-05-09 17:30:31,crypto,crypto,99947.9,91115.79,5,0,0,0,,both
