period,mode,total_return_pct,cagr_pct,max_dd_pct,sharpe,trades,win_rate_pct,stop_overshoot_avg_pct
full_8yr,intraday_full,157.06108327732355,12.572712020356104,-41.47293441318516,0.7309790888579418,149042,52.67642677902873,-1.5246566428750672
full_8yr,strict_pdt,103.39137685638637,9.314018118602686,-41.49149462769465,0.5316811485273267,121373,53.188106086197095,-1.7850417907032918
full_8yr,overnight_pdt,158.05496290967008,12.62721472966344,-32.09438667482187,0.6246443846954965,74527,54.39773504904263,-1.494085616523667
full_8yr,overnight_cap3,131.59438695373944,11.10915822505234,-26.86783036801858,0.5508029182988267,5369,55.243062022723045,-1.3646387801927509
full_8yr,intraday_cap3,183.69374577636785,13.973386952145628,-33.23145825619409,0.7663610488584341,10735,52.8178854215184,-1.4893224420733877
full_8yr,overnight_broker_stop,114.70031236346765,10.058505447636957,-32.09460216369624,0.5255131737475673,74537,53.106510860378066,-1.3111527199943267
recent_3yr,intraday_full,54.978673590104044,15.859425773626356,-14.482215932882864,1.0401489627851317,62743,52.780389844285416,-1.2648462476052247
recent_3yr,strict_pdt,47.51381260896639,13.953530003277503,-18.342765024069895,0.8473708255367509,50775,53.118660758247174,-1.4977073026583978
recent_3yr,overnight_pdt,27.74253660378141,8.574725492292234,-13.326859068381891,0.5073045203765959,31376,53.43574706782254,-1.1463512384856258
recent_3yr,overnight_cap3,35.23678490326514,10.674575619639759,-14.6506691669982,0.5860648027985292,2253,55.03772747447847,-1.2647801087870096
recent_3yr,intraday_cap3,81.44510225843963,22.162638437831816,-17.415052143573533,1.246930235405773,4503,53.34221630024428,-1.3054453295824342
recent_3yr,overnight_broker_stop,24.638824450138188,7.6811099898011825,-13.12074657782415,0.46655831171507245,31376,52.989546149923505,-1.0859411591465433
bear_2022,intraday_full,3.496614032337675,3.525074306897036,-16.833271224291636,0.26825441036625547,24569,51.4265944889902,-1.327331526237014
bear_2022,strict_pdt,-4.891606363380752,-4.92975844817013,-15.90129687802945,-0.07163459247532682,19996,51.82536507301461,-1.5371468736359857
bear_2022,overnight_pdt,6.158045003829504,6.2088081461427524,-10.453474481889605,0.36642701237332387,12312,52.71280051981806,-1.000970660668352
bear_2022,overnight_cap3,7.108187565155077,7.167044029805014,-12.01627071672014,0.39264451863711447,753,50.46480743691899,-1.0256132644911373
bear_2022,intraday_cap3,10.636420966506277,10.725921433389441,-14.548239791769674,0.5590198926480063,1503,50.43246839654025,-1.4562714824976233
bear_2022,overnight_broker_stop,6.762217377871904,6.818118960975217,-10.581564452181723,0.387102800264835,12309,52.41693070111301,-0.9638852970560988
bull_2024,intraday_full,22.0105744112314,22.10731586082726,-6.490362453648791,1.6327306584908066,19629,54.23098476743594,-1.1268041988280801
bull_2024,strict_pdt,21.272047751930767,21.365267923482655,-6.5136975691164265,1.5317592749049365,16191,54.39441665122599,-1.3128365488141727
bull_2024,overnight_pdt,19.266071803576914,19.349818709303502,-4.980858252665462,1.2073322166287233,9812,55.381165919282516,-1.1023280318200845
bull_2024,overnight_cap3,18.179664414931196,18.258336971734845,-11.097373411485947,0.8726686400922024,756,55.158730158730165,-1.4935791495449973
bull_2024,intraday_cap3,44.0873759464153,44.29720137226318,-7.736396516165869,2.10023455964271,1509,54.07554671968191,-1.3539623045151754
bull_2024,overnight_broker_stop,17.644374347789295,17.720561370557775,-4.9808582526653575,1.1181685878068095,9830,54.811800610376395,-1.0249123553307988
