bucket_id,profile,buy_rule,sell_rule,take_profit_pct,stop_loss_pct,entries,exits,open_lots,last_entry,stale,stale_days,win_rate_pct,avg_return_pct,med_return_pct,best_return_pct,worst_return_pct,realized_usd,symbols,strategies,exit_reasons,status
0,c000_s173_w1_0928_1005_r1,ask-0.01,bid-0.01,50.0,-50.0,1,0,1,2026-07-16,False,,,,,,,0,UAL,S173,,entered_no_exit
1,c001_s173_w2_1005_1045_r1,ask-0.01,bid-0.01,50.0,-50.0,1,0,1,2026-07-16,False,,,,,,,0,AMD,S173,,entered_no_exit
2,c002_s173_w3_1045_1120_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,1,2026-07-14,False,,,,,,,0,,,,open
3,c003_s173_w4_1120_1135_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,0,2026-07-14,False,,,,,,,0,,,,idle
4,c004_s174_w1_0928_1005_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,0,2026-07-10,False,,,,,,,0,,,,idle
5,c005_s174_w2_1005_1045_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,0,2026-07-10,False,,,,,,,0,,,,idle
6,c006_s174_w3_1045_1120_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,0,2026-07-13,False,,,,,,,0,,,,idle
7,c007_s174_w4_1120_1135_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,0,2026-07-10,False,,,,,,,0,,,,idle
8,c008_s165_w1_0928_1005_r1,ask-0.01,bid-0.01,50.0,-50.0,1,0,1,2026-07-16,False,,,,,,,0,AVGO,S165,,entered_no_exit
9,c009_s165_w2_1005_1045_r1,ask-0.01,bid-0.01,50.0,-50.0,1,1,1,2026-07-16,False,,0.0,-50.0,-50.0,-50.0,-50.0,-5.0,"AVGO,BSX",S165,reconcile_fill,closed
10,c010_s165_w3_1045_1120_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,0,2026-07-14,False,,,,,,,0,,,,idle
11,c011_s165_w4_1120_1135_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,0,2026-07-09,False,,,,,,,0,,,,idle
12,c012_s166_w1_0928_1005_r1,ask-0.01,bid-0.01,50.0,-50.0,0,0,0,2026-07-09,False,,,,,,,0,,,,idle
