strategy_id,strategy_name,recommendation,rationale,entries,exits,wins,losses,avg_return_pct,med_return_pct,p10_return_pct,p90_return_pct,realized_usd,active_days,unique_symbols,top_symbol_share_pct
S165,GapDown long call 3 DTE,watch,fat left tail (p10 < -45%),932,50,26,24,23.41,3.49,-51.03,85.29,107.22,4,6,52.0
S163,A1 GapDown ATM call EOD,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
S166,GapDown strong call,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
S173,MomReversal long call,drop,non-positive median return,1057,92,45,47,45.33,0.0,-69.8,109.31,38.64,4,7,28.3
S174,RubberBand long call EOD,drop,manually paused — excluded from new entries & reflected P&L,888,97,43,54,-15.29,-21.74,-89.66,37.37,-909.19,3,6,47.4
