bucket_id,profile,buy_rule,sell_rule,take_profit_pct,stop_loss_pct,entries,exits,open_lots,last_entry,stale,stale_days,win_rate_pct,avg_return_pct,med_return_pct,best_return_pct,worst_return_pct,realized_usd,symbols,strategies,exit_reasons,status
72,g072_mid_tp30_sl20,mid,bid-0.05,30.0,-20.0,0,0,0,2026-08-06,False,,,,,,,0,,,,idle
73,g073_eod_tp30_sl20,ask-0.10,bid-0.05,30.0,-20.0,0,0,0,2026-08-06,False,,,,,,,0,,,,idle
74,g074_lim_tp30_sl20,ask-0.10,bid-0.05,30.0,-20.0,0,0,0,2026-08-06,False,,,,,,,0,,,,idle
75,g075_mid_tp30_sl20,mid,bid-0.05,30.0,-20.0,0,0,0,2026-08-06,False,,,,,,,0,,,,idle
76,g076_eod_tp30_sl20,ask-0.10,bid-0.05,30.0,-20.0,0,0,0,2026-08-06,False,,,,,,,0,,,,idle
77,g077_lim_tp30_sl20,ask-0.10,bid-0.05,30.0,-20.0,0,0,0,2026-08-06,False,,,,,,,0,,,,idle
78,g078_mid_tp30_sl20,mid,bid-0.05,30.0,-20.0,0,0,0,2026-08-06,False,,,,,,,0,,,,idle
79,g079_eod_tp30_sl20,ask-0.10,bid-0.05,30.0,-20.0,0,0,0,2026-08-06,False,,,,,,,0,,,,idle
80,g080_lim_tp30_sl30,ask-0.10,bid-0.05,30.0,-30.0,0,0,0,2026-08-13,False,,,,,,,0,,,,idle
81,g081_mid_tp30_sl30,mid,bid-0.05,30.0,-30.0,0,0,0,2026-08-13,False,,,,,,,0,,,,idle
82,g082_eod_tp30_sl30,ask-0.10,bid-0.05,30.0,-30.0,0,0,0,2026-08-13,False,,,,,,,0,,,,idle
83,g083_lim_tp30_sl30,ask-0.10,bid-0.05,30.0,-30.0,0,0,0,2026-08-13,False,,,,,,,0,,,,idle
84,g084_mid_tp30_sl30,mid,bid-0.05,30.0,-30.0,0,0,0,2026-08-13,False,,,,,,,0,,,,idle
85,g085_eod_tp30_sl30,ask-0.10,bid-0.05,30.0,-30.0,0,0,0,2026-08-13,False,,,,,,,0,,,,idle
86,g086_lim_tp30_sl30,ask-0.10,bid-0.05,30.0,-30.0,0,0,0,2026-08-13,False,,,,,,,0,,,,idle
87,g087_mid_tp30_sl30,mid,bid-0.05,30.0,-30.0,0,0,0,2026-08-13,False,,,,,,,0,,,,idle
88,g088_eod_tp30_sl30,ask-0.10,bid-0.05,30.0,-30.0,0,0,0,2026-07-24,False,,,,,,,0,,,,idle
89,g089_lim_tp30_sl30,ask-0.10,bid-0.05,30.0,-30.0,0,0,0,2026-07-24,False,,,,,,,0,,,,idle
90,live_1to1,ask-0.01,bid-0.01,50.0,-40.0,1,0,0,2026-08-27,False,,,,,,,0,CELH,S404,,entered_no_exit
91,g091_eod_tp30_sl30,ask-0.10,bid-0.05,30.0,-30.0,0,0,0,2026-07-24,False,,,,,,,0,,,,idle
92,g092_lim_tp30_sl40,ask-0.10,bid-0.05,30.0,-40.0,0,0,0,2026-07-24,False,,,,,,,0,,,,idle
93,g093_mid_tp30_sl40,mid,bid-0.05,30.0,-40.0,0,0,0,2026-07-24,False,,,,,,,0,,,,idle
94,g094_eod_tp30_sl40,ask-0.10,bid-0.05,30.0,-40.0,0,0,0,2026-08-13,False,,,,,,,0,,,,idle
95,g095_lim_tp30_sl40,ask-0.10,bid-0.05,30.0,-40.0,0,0,0,2026-08-13,False,,,,,,,0,,,,idle
96,g096_mid_tp30_sl40,mid,bid-0.05,30.0,-40.0,0,0,0,2026-08-14,False,,,,,,,0,,,,idle
97,g097_eod_tp30_sl40,ask-0.10,bid-0.05,30.0,-40.0,0,0,0,2026-08-14,False,,,,,,,0,,,,idle
98,g098_lim_tp30_sl40,ask-0.10,bid-0.05,30.0,-40.0,0,0,0,2026-08-14,False,,,,,,,0,,,,idle
99,g099_mid_tp30_sl40,mid,bid-0.05,30.0,-40.0,0,0,0,2026-08-14,False,,,,,,,0,,,,idle
