strategy_id,strategy_name,recommendation,rationale,entries,exits,wins,losses,avg_return_pct,med_return_pct,p10_return_pct,p90_return_pct,realized_usd,active_days,unique_symbols,top_symbol_share_pct
S163,A1 GapDown ATM call EOD,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
S166,GapDown strong call,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
S165,GapDown long call 3 DTE,drop,non-positive median return,1150,119,44,75,3.76,-10.0,-56.42,78.4,-581.78,7,8,34.5
S174,RubberBand long call EOD,drop,manually paused — excluded from new entries & reflected P&L,1004,108,43,65,-19.78,-23.29,-89.83,37.29,-1284.19,3,6,49.1
S173,MomReversal long call,drop,non-positive median return,1380,193,67,126,13.21,-27.69,-79.44,95.96,-1977.36,7,11,19.7
