strategy_id,strategy_name,recommendation,rationale,entries,exits,wins,losses,avg_return_pct,med_return_pct,p10_return_pct,p90_return_pct,realized_usd,active_days,unique_symbols,top_symbol_share_pct
S173,MomReversal long call,watch,insufficient sample (<12 exits),100,10,9,1,52.19,70.78,32.33,70.78,526.64,1,2,90.0
S165,GapDown long call 3 DTE,watch,insufficient sample (<12 exits),4,4,4,0,53.41,53.41,47.73,59.09,94.22,1,1,100.0
S174,RubberBand long call EOD,watch,too concentrated in one symbol,100,34,32,2,31.73,34.25,23.29,49.84,785.81,1,2,64.7
S163,A1 GapDown ATM call EOD,watch,insufficient sample (<12 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
S166,GapDown strong call,watch,insufficient sample (<12 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
