bucket_id,profile,buy_rule,sell_rule,take_profit_pct,stop_loss_pct,entries,exits,win_rate_pct,avg_return_pct,med_return_pct,best_return_pct,worst_return_pct,realized_usd,symbols,strategies,exit_reasons,status
86,c086_s174_w3_1045_1120_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
87,c087_s174_w4_1120_1135_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
88,c088_s165_w1_0928_1005_r5,ask-0.01,bid-0.01,50.0,-50.0,2,0,,,,,,0,MSFT,S165,,entered_no_exit
89,c089_s165_w2_1005_1045_r5,ask-0.01,bid-0.01,50.0,-50.0,1,2,100.0,425.91,425.91,790.0,61.82,113.0,"BSX,INTC",S165,take_profit (+62.5%); reconcile_fill,closed
90,c090_s165_w3_1045_1120_r5,ask-0.01,bid-0.01,50.0,-50.0,1,0,,,,,,0,BSX,S165,,entered_no_exit
91,c091_s165_w4_1120_1135_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
92,c092_s166_w1_0928_1005_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
93,c093_s166_w2_1005_1045_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
94,c094_s166_w3_1045_1120_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
95,c095_s166_w4_1120_1135_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
96,c096_s163_w1_0928_1005_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
97,c097_s163_w2_1005_1045_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
98,c098_s163_w3_1045_1120_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
99,c099_s163_w4_1120_1135_r5,ask-0.01,bid-0.01,50.0,-50.0,0,0,,,,,,0,,,,idle
