bucket_id,profile,buy_rule,sell_rule,take_profit_pct,stop_loss_pct,entries,exits,win_rate_pct,avg_return_pct,med_return_pct,best_return_pct,worst_return_pct,realized_usd,symbols,strategies,exit_reasons,status
0,baseline,ask-0.01,bid-0.01,50.0,-50.0,2,4,100.0,61.53,55.74,84.65,50.0,747.86,"ADBE,PLTR,PYPL","S173,S174,UNKNOWN",take_profit (+84.7%); take_profit (+50.0%); take_profit (+58.1%)…,closed
1,patient_buy,ask-0.05,bid-0.01,45.0,-40.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
2,aggressive_buy,mid,bid-0.02,55.0,-45.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
3,tight_stops,ask-0.01,bid-0.01,30.0,-25.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
4,wide_stops,ask-0.02,bid-0.02,80.0,-60.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
5,eod_only,ask-0.01,bid-0.01,99.0,-99.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
6,loose_spread,ask-0.01,bid-0.01,50.0,-50.0,2,0,,,,,,0,"ADBE,PYPL","S173,S174",,entered_no_exit
7,tight_spread,ask-0.01,bid-0.01,40.0,-35.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
8,g008_lim_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
9,g009_mid_tp20_sl20,mid,bid-0.05,20.0,-20.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
10,g010_eod_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
11,g011_lim_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
12,g012_mid_tp20_sl20,mid,bid-0.05,20.0,-20.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
13,g013_eod_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
14,g014_lim_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
15,g015_mid_tp20_sl20,mid,bid-0.05,20.0,-20.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
16,g016_eod_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
17,g017_lim_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,2,0,,,,,,0,"ADBE,PYPL","S173,S174",,entered_no_exit
18,g018_mid_tp20_sl20,mid,bid-0.05,20.0,-20.0,2,0,,,,,,0,"ADBE,PYPL","S173,S174",,entered_no_exit
19,g019_eod_tp20_sl20,ask-0.10,bid-0.05,20.0,-20.0,2,0,,,,,,0,"ADBE,PYPL","S173,S174",,entered_no_exit
20,g020_lim_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
21,g021_mid_tp20_sl30,mid,bid-0.05,20.0,-30.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
22,g022_eod_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
23,g023_lim_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
24,g024_mid_tp20_sl30,mid,bid-0.05,20.0,-30.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
25,g025_eod_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
26,g026_lim_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,2,0,,,,,,0,"ADBE,PLTR","S173,S174",,entered_no_exit
27,g027_mid_tp20_sl30,mid,bid-0.05,20.0,-30.0,2,0,,,,,,0,"ADBE,PLTR","S173,S174",,entered_no_exit
28,g028_eod_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,2,0,,,,,,0,"ADBE,PLTR","S173,S174",,entered_no_exit
29,g029_lim_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,2,0,,,,,,0,ADBE,"S173,S174",,entered_no_exit
30,g030_mid_tp20_sl30,mid,bid-0.05,20.0,-30.0,2,0,,,,,,0,ADBE,"S173,S174",,entered_no_exit
31,g031_eod_tp20_sl30,ask-0.10,bid-0.05,20.0,-30.0,2,0,,,,,,0,ADBE,"S173,S174",,entered_no_exit
32,g032_lim_tp20_sl40,ask-0.10,bid-0.05,20.0,-40.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
33,g033_mid_tp20_sl40,mid,bid-0.05,20.0,-40.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
34,g034_eod_tp20_sl40,ask-0.10,bid-0.05,20.0,-40.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
35,g035_lim_tp20_sl40,ask-0.10,bid-0.05,20.0,-40.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
36,g036_mid_tp20_sl40,mid,bid-0.05,20.0,-40.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
37,g037_eod_tp20_sl40,ask-0.10,bid-0.05,20.0,-40.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
38,g038_lim_tp20_sl40,ask-0.10,bid-0.05,20.0,-40.0,2,0,,,,,,0,"ADBE,PLTR","S173,S174",,entered_no_exit
39,g039_mid_tp20_sl40,mid,bid-0.05,20.0,-40.0,2,0,,,,,,0,"ADBE,PLTR","S173,S174",,entered_no_exit
40,g040_eod_tp20_sl40,ask-0.10,bid-0.05,20.0,-40.0,2,0,,,,,,0,"ADBE,PLTR","S173,S174",,entered_no_exit
41,g041_lim_tp20_sl40,ask-0.10,bid-0.05,20.0,-40.0,2,0,,,,,,0,ADBE,"S173,S174",,entered_no_exit
42,g042_mid_tp20_sl40,mid,bid-0.05,20.0,-40.0,2,0,,,,,,0,ADBE,"S173,S174",,entered_no_exit
43,g043_eod_tp20_sl40,ask-0.10,bid-0.05,20.0,-40.0,2,0,,,,,,0,ADBE,"S173,S174",,entered_no_exit
44,g044_lim_tp20_sl50,ask-0.10,bid-0.05,20.0,-50.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
45,g045_mid_tp20_sl50,mid,bid-0.05,20.0,-50.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
46,g046_eod_tp20_sl50,ask-0.10,bid-0.05,20.0,-50.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
47,g047_lim_tp20_sl50,ask-0.10,bid-0.05,20.0,-50.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
48,g048_mid_tp20_sl50,mid,bid-0.05,20.0,-50.0,2,0,,,,,,0,"PLTR,PYPL","S173,S174",,entered_no_exit
