strategy_id,strategy_name,dte_profile,recommendation,rationale,entries,exits,wins,losses,avg_return_pct,med_return_pct,p10_return_pct,p25_return_pct,p90_return_pct,realized_usd,active_days,days_since_first_entry,entries_last_5d,exits_last_5d,unique_symbols,top_symbol_share_pct
S168,GapDown ATM 5-DTE — P2B arm,5d ATM,watch,building sample (8-19 exits),91,11,10,1,138.67,118.92,50.0,78.02,255.56,547.0,2,49,11,3,4,54.5
S167,GapDown long call 3 DTE 1-OTM — P2C,3d 1-OTM,watch,insufficient sample (<8 exits),104,6,4,2,193.9,116.0,-55.36,-15.02,521.06,252.0,2,49,10,2,3,33.3
S396,GapDown_ITM2,3d,watch,insufficient sample (<8 exits),24,4,3,1,45.32,83.82,-35.16,35.39,95.0,120.0,2,33,2,0,1,100.0
S163,A1 GapDown ATM call EOD,7d ATM,watch,building sample (8-19 exits),103,11,11,0,103.6,81.08,64.86,73.78,200.0,478.0,2,49,8,2,3,45.5
S166,GapDown strong call,3d ATM strong,watch,building sample (8-19 exits),49,8,8,0,113.61,75.23,63.34,67.08,194.5,436.0,2,49,5,2,3,62.5
S406,RubberBand_ITM3,3d,watch,fat left tail (p10 < -45%),145,74,53,21,210.17,72.81,-61.97,-4.79,965.79,3431.0,12,39,8,5,11,20.3
S353,GapDown_3DTE,3d,watch,fat left tail (p10 < -45%),98,28,15,13,90.74,63.97,-81.1,-70.46,237.37,191.0,7,39,6,1,7,32.1
S397,GapDown_ITM1,3d,watch,fat left tail (p10 < -45%),121,29,22,7,40.26,57.53,-70.11,19.15,115.58,757.0,7,39,12,2,10,24.1
S362,RubberBand_3DTE,3d,watch,fat left tail (p10 < -45%),111,43,32,11,155.39,57.14,-59.71,-10.87,725.71,1359.0,7,39,6,0,6,30.2
S357,GapDown_21DTE,21d,watch,fat left tail (p10 < -45%),50,24,19,5,37.99,55.04,-76.29,47.06,78.98,490.0,9,39,4,1,5,33.3
S403,Any_MA50_Touch,3d,watch,fat left tail (p10 < -45%),102,46,31,15,57.25,50.88,-61.05,-48.23,222.5,925.0,10,39,10,4,12,19.6
S404,GapDown_OTM2,3d,watch,fat left tail (p10 < -45%),130,45,29,16,25.77,50.0,-91.67,-41.89,117.95,789.0,8,39,15,5,13,20.0
S361,RubberBand_2DTE,2d,watch,fat left tail (p10 < -45%),115,41,23,18,114.68,44.83,-68.52,-53.33,253.33,212.0,7,39,6,0,8,26.8
S218,BB_Lower_Touch,3d ATM BB lower touch,watch,fat left tail (p10 < -45%),155,74,42,32,52.47,41.03,-70.0,-47.61,161.14,1214.0,14,43,8,6,13,33.8
S364,RubberBand_7DTE,7d,watch,fat left tail (p10 < -45%),98,50,26,24,20.88,23.9,-85.97,-57.98,188.89,92.0,11,39,2,0,5,38.0
S350,GapDown_0DTE,0d,watch,fat left tail (p10 < -45%),89,41,22,19,60.85,15.0,-62.75,-50.0,260.0,713.0,8,39,10,2,8,31.7
S401,Any_Gap_Down_Small,3d,watch,fat left tail (p10 < -45%),202,96,50,46,59.95,8.97,-83.94,-48.74,273.08,1209.0,12,39,14,2,14,33.3
S410,RubberBand_OTM1,3d,watch,insufficient sample (<8 exits),24,6,3,3,8.26,8.42,-73.28,-63.48,89.63,33.0,3,33,2,0,2,83.3
S411,RubberBand_OTM2,3d,watch,fat left tail (p10 < -45%),113,36,19,17,-8.38,5.2,-56.72,-51.46,54.09,-200.0,7,36,10,3,10,25.0
S398,GapDown_ATM,3d,watch,fat left tail (p10 < -45%),127,48,25,23,32.85,3.33,-68.29,-54.65,156.23,732.0,8,39,10,2,10,31.2
S358,GapDown_30DTE,30d,watch,insufficient sample (<8 exits),14,4,2,2,1.35,0.84,-51.39,-51.39,54.49,-21.0,3,35,0,0,2,50.0
S365,RubberBand_14DTE,14d,watch,early sample with non-positive median,50,17,7,10,5.01,0.0,-71.43,-51.61,65.11,-57.0,6,39,8,1,5,35.3
