ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail,order_id
2026-09-01 15:01:58.192595+00:00,entry,1127,lab1127_s168_w3_1045_1120_r2,S168,eb7bd373b30c,AMD,AMD260904C00497500,1,0.53,0.52,52.0,,,,-0.01,,0.75,-0.75,0.11764705882352951,gap -2.3%,172583eb-1346-4448-8f36-6630f52988f9
2026-09-02T13:55:44Z,reconcile,1127,lab1127_s168_w3_1045_1120_r2,S168,eb7bd373b30c,AMD,AMD260904C00497500,0,,,0,,,missing_from_broker,,,,,,lot closed outside of bot (expired/manual),
2026-09-02 14:47:02.746013+00:00,entry,1127,lab1127_s168_w3_1045_1120_r2,S168,db38d4c12a7d,MARA,MARA260911C00010500,1,0.38,0.37,37.0,,,,-0.01,,0.75,-0.75,0.025974025974025997,gap -2.2%,754c0b58-f488-47d1-810e-995652cc3995
2026-09-03 14:16:17.518283+00:00,exit,1127,lab1127_s168_w3_1045_1120_r2,S168,db38d4c12a7d,MARA,MARA260911C00010500,1,,0.81,37.0,118.92,44.0,take_profit (+116.0%),,-0.01,0.5,-0.5,,,3b32f45f-12a6-4f05-8aff-2d53b04a473e
2026-09-03 14:57:48.023002+00:00,entry,1127,lab1127_s168_w3_1045_1120_r2,S168,c4324cd4ce61,AVGO,AVGO260909C00380000,1,0.38,0.37,37.0,,,,-0.01,,0.75,-0.75,0.16666666666666666,gap -4.2%,74aa3204-2e29-46d9-9899-9fec9829e03d
