date,symbol,signal_type,gap_pct,realized_vol_30d,ret_5day,ret_1day,signal_day_return,ret_3day
2026-05-25,AZO,VolumeSpike,-0.05621311910593718,0.2682183293814436,-0.02282177004959265,-0.023428241074161697,-0.03573858308208696,-0.05319816403320478
2026-05-25,CVNA,MomReversal,0.022114853005655227,0.52241066884746,-0.0648610542093756,0.040627204734553085,0.005158340817150888,0.040627204734553085
2026-05-25,CVX,Pullback50,-0.007470055532014683,0.26205908053944615,0.015375433028325535,-0.012506159565903948,-0.027842069927014802,-0.012181256662967141
2026-05-25,DTE,Pullback50,0.004817614240171781,0.2163794088806161,-0.013621946555711865,0.004494528760432322,-0.009452088238441715,-0.01210072798136082
2026-05-25,ETN,Pullback50,0.02228184766757511,0.3989635778444754,0.03594371557281417,0.008037085295392106,0.0076486552417660055,-0.006275888047659292
2026-05-25,EIX,Pullback50,0.0063219576610407295,0.24117939790309556,-0.004491854357381455,0.005895645858145734,-0.005444637785879964,-0.018248111473125394
2026-05-25,XOM,Pullback50,-0.00916600946119789,0.3063134022037417,-0.0016687804824388967,-0.012749507330859769,-0.024039103852809447,-0.030371825151243415
2026-05-25,GD,Pullback50,0.0062702143679767034,0.28619730381921343,-0.02039818070471659,-0.005658113173597762,-0.0011592681618899812,0.006325419519277326
2026-05-25,HSIC,Pullback50,0.0005390232586017286,0.26892914775475796,0.02895804256376145,0.023951239601078686,-0.004713784163247054,0.03626522665547276
2026-05-26,ABNB,Pullback50,0.00015103145258822946,0.25657287072016,0.01258677660478354,-0.004371318995192354,0.0023419020172910665,0.004748303569415993
2026-05-26,AMCR,Pullback50,0.01433039148876597,0.3706696421952426,0.0025632248182054975,0.018485129452660943,0.0005137543695577824,0.013264885084526777
2026-05-26,AEP,Pullback50,0.0026598230356120363,0.22694174883329427,-0.02895334960160454,-0.010160325701140806,-0.007882435392433287,-0.032314712947077294
2026-05-26,AME,Pullback50,0.006369157809047895,0.24372959411168235,-0.007452942473293384,-0.013336823392990709,0.015445919629569592,-0.015646789977667615
2026-05-26,APA,Pullback50,-0.0072164635258402,0.5458201056103587,0.008266703287760416,-0.023466695149739585,-0.026479762347928315,-0.0285333251953125
2026-05-26,CB,Pullback50,0.00033546299210040294,0.16716127204348089,-0.04049787154309175,-0.014810308850121566,-0.007774353027343648,-0.04215704828891931
2026-05-26,DOV,Pullback50,0.01067177431871431,0.2673922050027772,-0.014114986658061775,-0.009424359419374301,0.015367184482960788,-0.016348845242038154
2026-05-26,EA,Pullback50,-0.001791322303902168,0.030696511189225208,0.005324933076686387,-0.001293967166646265,0.0025921154024167053,0.0038817496258582024
2026-05-26,GILD,Pullback50,0.00662392406342889,0.21577915479939427,-0.04606291833172427,-0.000299072942788173,-0.01123847890913819,0.005234465606956134
