date,symbol,signal_type,group,entry_price,S,K,sigma,gap_pct,realized_vol_30d,ret_1day,net_pnl_1day,net_pnl_EOD,call_ret_crush_EOD,call_ret_EOD,call_ret_3day,net_pnl_5day,ret_5day,call_delta,call_at_signal,call_ret_crush_1day,ret_3day,call_ret_1day,net_pnl_3day,ret_EOD,call_ret_5day,call_ret_crush_3day,label,signal_day_return,call_ret_crush_5day
2026-05-25,COST,CONTROL,control,1002.9299926757812,1002.9299926757812,1003,0.2087255895269232,-0.0020520358783960094,0.2087255895269232,0.0007577894480923053,-171.73398315912786,-911.8649907890946,-0.6927507101450168,-0.6927507101450168,-0.9901438563709722,-1262.1880454769982,-0.04851781629813282,0.5180307612823675,12.010937433242361,-0.22203226716183386,-0.046473817406944555,-0.044104194817091935,-1251.2021856666242,-0.022609232842461097,-0.9997718000869081,-0.9984647739390305,RECONSTRUCTED - approximate only,-0.022609232842461097,-0.9999930317312743
2026-05-25,BX,CONTROL,control,118.12000274658203,118.12000274658203,118,0.3927663347737414,0.006412914464066106,0.3927663347737414,-0.0010159392464584387,-52.82051111321371,-81.08815208268818,-0.20829617236754752,-0.20829617236754752,-0.44665789390834626,-250.4431119929458,-0.027175745088319023,0.5253210213161579,2.678521109157856,-0.2740664298450695,-0.009735874527078634,-0.09720721568513963,-141.74155784510066,-0.009641937862427435,-0.8738439563420836,-0.5869403178493428,RECONSTRUCTED - approximate only,-0.009641937862427435,-0.9345241318581233
2026-05-25,DUK,CONTROL,control,124.97000122070312,124.97000122070312,125,0.1715599584156272,0.0002387107482610602,0.1715599584156272,0.0030407077675135416,-3.1795891364028925,-45.866980634098326,-0.27629840169251585,-0.27629840169251585,-0.8463937472122821,-130.08091440045865,-0.03104749015693952,0.5168053721092332,1.22948997389922,-0.08643322181828551,-0.017924284563409627,0.08917099836171205,-112.45499922499894,-0.005807444274160509,-0.9972985558354501,-0.924856366662306,RECONSTRUCTED - approximate only,-0.005807444274160509,-0.9997294238676481
2026-05-25,PFE,CONTROL,control,25.850000381469727,25.850000381469727,26,0.1518003386049603,-0.001158254043965786,0.1518003386049603,0.013926448653400817,14.050333861488651,-3.675861023451869,-0.05057853337405943,-0.05057853337405943,0.746716454044047,-17.396387356231802,-0.011605459960620814,0.41328383931449264,0.16047736136038715,0.8903388079430984,0.012765954307010816,1.1121494895874149,8.479179578186603,-0.0007731139201719695,-0.9505596381997378,0.5670447058904162,RECONSTRUCTED - approximate only,-0.0007731139201719695,-0.9845218756427093
2026-05-25,FAF,CONTROL,control,67.59072875976562,67.59072875976562,68,0.26749066864235643,0.0013197314908365014,0.26749066864235643,-0.009097607789009726,-40.1105338584569,-15.503641152721736,-0.07300361452019706,-0.07300361452019706,-0.8790485308379296,-89.13272085301978,-0.043286950184959185,0.45281199332950683,0.8386981494560786,-0.5791037816753757,-0.02817314599471829,-0.3818393063435869,-79.72633722366712,-0.002050071573752121,-0.9971059804504221,-0.9501202697385365,RECONSTRUCTED - approximate only,-0.002050071573752121,-0.9997285456513406
2026-05-25,OGE,CONTROL,control,48.40999984741211,48.40999984741211,48,0.21306165449820402,-0.0028842065720615477,0.21306165449820402,-0.004751075045678262,-26.944440187205686,-8.93954975460488,0.007678099730570719,0.007678099730570719,-0.8160763091346273,-86.92617736966888,-0.03718238468775312,0.6313809362478705,0.8240637933635675,-0.34724347378298154,-0.024375135486369173,-0.22231035987016945,-73.4280371366996,0.00020657688466925236,-0.988497046226941,-0.8917787036119696,RECONSTRUCTED - approximate only,0.00020657688466925236,-0.9974049169744158
2026-05-25,ADBE,CONTROL,control,240.49000549316406,240.49000549316406,240,0.434905576349483,-0.008947488281447985,0.434905576349483,-0.009355898160449568,-211.29180885157936,-161.27734565967958,-0.1691781536898677,-0.1691781536898677,2.1856863932961317,1461.8132737670762,0.08989970212717628,0.5318416277681027,6.1360006256071244,-0.4267467588771494,0.07784101432209489,-0.2549780200395968,1211.420436025303,-0.008574851664470454,2.6152355805131005,2.1609583070628546,RECONSTRUCTED - approximate only,-0.008574851664470454,2.614116809183212
2026-05-25,WBD,CONTROL,control,27.0,27.0,27,0.15,-0.0011099032883239994,0.09441540583494401,0.00518516257957176,2.2101139088899693,-3.6681836698017767,0.0,0.0,-0.2322867667391879,-3.7225245261395603,0.006666677969473379,0.5225473798427107,0.23681836698017733,0.09628290647777545,0.0003703788474754051,0.26128385820254896,-8.89411208297836,0.0,-0.002415391261142434,-0.37480998546021277,RECONSTRUCTED - approximate only,0.0,-0.08194986128996176
2026-05-25,IDA,CONTROL,control,142.64999389648438,142.64999389648438,143,0.18949878425036168,0.0041549037879621475,0.18949878425036168,0.007641161186944509,29.37267420151658,-12.43473868523216,0.0209690167591585,0.0209690167591585,-0.8129897556923605,-147.2772066517268,-0.04353306498971516,0.48256351486860904,1.390461710090932,0.14510815444811515,-0.01668412005506642,0.33746678666757907,-122.59557406961812,0.00042076976039452196,-0.9998389561223731,-0.9055652456328265,RECONSTRUCTED - approximate only,0.00042076976039452196,-0.9999960879279327
2026-05-25,BKH,CONTROL,control,74.76000213623047,74.76000213623047,75,0.27127309212834383,0.002422941216280957,0.27127309212834383,-0.0034778240877613026,-31.39408816117589,2.2514875393295455,0.14122388165408498,0.14122388165408498,-0.8379867176195338,-109.21582349581136,-0.03624931791112572,0.4836448437847873,1.0395808385710126,-0.39537256367534,-0.025949737640069956,-0.19945568995959467,-94.45552717406723,0.0038941978081601224,-0.9874426660789691,-0.9223808956199063,RECONSTRUCTED - approximate only,0.0038941978081601224,-0.9975851873030432
