ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail,order_id
2026-07-28 15:24:52.309045+00:00,entry,111,c111_s202_w4_1120_1135_r2,S202,a526bec024bd,INTC,INTC260729C00093000,1,0.35,0.34,34.0,,,,-0.01,,0.5,-0.5,0.08695652173913036,gap -5.5%,15f021a0-813e-4996-a296-b68c1e6b8490
2026-07-28T15:35:46Z,reconcile,111,c111_s202_w4_1120_1135_r2,S202,a526bec024bd,INTC,INTC260729C00093000,1,,,34.0,,,zombie_lot,,,,,,zombie age_min=936 notional=$34.00 occ=INTC260729C00093000 action=submitted:33020707-95f2-4456-af5f-c8d5fcd778e0,
2026-07-29 15:25:57.093902+00:00,entry,111,c111_s202_w4_1120_1135_r2,S202,918f0a26dc4e,PG,PG260731C00150000,1,0.26,0.25,25.0,,,,-0.01,,0.5,-0.5,0.20408163265306128,gap -5.0%,f0ac60e6-4423-48b5-aa17-c6dcceec57a7
2026-07-29T15:37:20Z,reconcile,111,c111_s202_w4_1120_1135_r2,S202,918f0a26dc4e,PG,PG260731C00150000,1,,,25.0,,,zombie_lot,,,,,,"zombie age_min=937 notional=$25.00 occ=PG260731C00150000 action=error:{""bid"":""0.2"",""buy_limit_price"":""0.22"",""code"":40310000,""existing_order_id"":""5de783c7-9112-4906-a966-fdae956d7984"",""message"":""potential wash trade detected. use complex orders"",""reject_reason"":""buy order exists, quote bid should be greater than existing buy limit price""}",
2026-07-29T15:40:56Z,reconcile,111,c111_s202_w4_1120_1135_r2,S202,918f0a26dc4e,PG,PG260731C00150000,1,,,25.0,,,zombie_lot,,,,,,zombie age_min=941 notional=$25.00 occ=PG260731C00150000 action=submitted:ffb93172-3f75-42b9-8bea-ff9405134830,
