ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail,order_id
2026-07-10 14:46:30.999479+00:00,entry,6,c006_s174_w3_1045_1120_r1,S174,70f4a884b559,INTC,INTC260713C00115000,1,0.58,0.58,58.0,,,,-0.01,,0.5,-0.5,,,b460cd33-2fbe-4a5c-ad21-4b9074ba3474
2026-07-09 14:46:32.496780+00:00,entry,6,c006_s174_w3_1045_1120_r1,S174,8f71bd9592b7,PEP,PEP260717C00141000,1,0.68,0.68,68.0,,,,-0.01,,0.5,-0.5,,,f6a19bae-f301-47df-b6d2-6f5892dd5dd1
2026-07-09 13:34:50.731305+00:00,entry,6,c006_s174_w3_1045_1120_r1,S173,35a4d9f1b9c0,ADBE,ADBE260710C00225000,1,0.86,0.86,86.0,,,,-0.01,,0.5,-0.5,,,c0f9357b-561d-451f-849a-9b050daffc9c
2026-07-08 14:14:08.345204+00:00,entry,6,c006_s174_w3_1045_1120_r1,S165,73be24335fe9,BA,BA260710C00237500,1,0.25,0.25,25.0,,,,-0.01,,0.5,-0.5,,,9ce8677c-8675-48e2-8b7a-242b66331e66
2026-07-08 14:09:03.117649+00:00,entry,6,c006_s174_w3_1045_1120_r1,S174,9badb08ce53d,CCL,CCL260710C00026000,1,0.43,0.43,43.0,,,,-0.01,,0.5,-0.5,,,e46ecb34-2209-4003-825b-262d59e2f4f0
2026-07-10 14:46:30.999479+00:00,entry,6,c006_s174_w3_1045_1120_r1,S174,70f4a884b559,INTC,INTC260713C00115000,1,0.58,0.58,58.0,,,,-0.01,,0.5,-0.5,,,b460cd33-2fbe-4a5c-ad21-4b9074ba3474
2026-07-09 14:46:32.496780+00:00,entry,6,c006_s174_w3_1045_1120_r1,S174,9e4a5963926c,PEP,PEP260717C00141000,1,0.68,0.68,68.0,,,,-0.01,,0.5,-0.5,,,f6a19bae-f301-47df-b6d2-6f5892dd5dd1
2026-07-09 13:34:50.731305+00:00,entry,6,c006_s174_w3_1045_1120_r1,S173,5e5c4cdef216,ADBE,ADBE260710C00225000,1,0.86,0.86,86.0,,,,-0.01,,0.5,-0.5,,,c0f9357b-561d-451f-849a-9b050daffc9c
2026-07-08 14:14:08.345204+00:00,entry,6,c006_s174_w3_1045_1120_r1,S165,73be24335fe9,BA,BA260710C00237500,1,0.25,0.25,25.0,,,,-0.01,,0.5,-0.5,,,9ce8677c-8675-48e2-8b7a-242b66331e66
2026-07-08 14:09:03.117649+00:00,entry,6,c006_s174_w3_1045_1120_r1,S174,f7a8639b6195,CCL,CCL260710C00026000,1,0.43,0.43,43.0,,,,-0.01,,0.5,-0.5,,,e46ecb34-2209-4003-825b-262d59e2f4f0
2026-07-10 14:46:30.999479+00:00,entry,6,c006_s174_w3_1045_1120_r1,S174,2df5c3f850f5,INTC,INTC260713C00115000,1,0.58,0.58,58.0,,,,-0.01,,0.5,-0.5,,,b460cd33-2fbe-4a5c-ad21-4b9074ba3474
2026-07-09 14:46:32.496780+00:00,entry,6,c006_s174_w3_1045_1120_r1,S174,95c239bd5225,PEP,PEP260717C00141000,1,0.68,0.68,68.0,,,,-0.01,,0.5,-0.5,,,f6a19bae-f301-47df-b6d2-6f5892dd5dd1
2026-07-09 13:34:50.731305+00:00,entry,6,c006_s174_w3_1045_1120_r1,S173,a5e2acfd979a,ADBE,ADBE260710C00225000,1,0.86,0.86,86.0,,,,-0.01,,0.5,-0.5,,,c0f9357b-561d-451f-849a-9b050daffc9c
2026-07-08 14:14:08.345204+00:00,entry,6,c006_s174_w3_1045_1120_r1,S165,38bad073374e,BA,BA260710C00237500,1,0.25,0.25,25.0,,,,-0.01,,0.5,-0.5,,,9ce8677c-8675-48e2-8b7a-242b66331e66
2026-07-08 14:09:03.117649+00:00,entry,6,c006_s174_w3_1045_1120_r1,S174,df3df0d4da80,CCL,CCL260710C00026000,1,0.43,0.43,43.0,,,,-0.01,,0.5,-0.5,,,e46ecb34-2209-4003-825b-262d59e2f4f0
