ts,event,strategy_id,occ,qty,limit,cost,reason,return_pct,order_id
2026-08-21T12:45:59.534442-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:45:59.534442-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,54560199-e3c6-4592-9308-3e05cb2868de
2026-08-21T12:51:04.883856-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:51:04.883856-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,4582846c-9325-4dfb-bf97-1cf6fca60fc6
2026-08-21T12:55:52.504962-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T12:55:52.504962-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,e9982362-2b87-4035-b704-9857af1a5bc5
2026-08-21T13:00:59.757040-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T13:00:59.757040-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,431becac-2d69-498b-9383-531e534cec29
2026-08-21T13:05:51.081918-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T13:05:51.081918-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,4774d774-bc43-4f67-9cb3-71de41054f06
2026-08-21T13:14:39.050746-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T13:14:39.050746-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,f16f44d2-1eda-48c7-b211-978e99629c33
2026-08-21T13:16:00.189267-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T13:16:00.189267-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,46bd0091-3272-4c4d-9423-444ff6f3f236
2026-08-21T13:20:54.928297-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T13:20:54.928297-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,b9a257b0-f729-4976-a2f7-609c4cdc0afe
2026-08-21T13:26:01.912595-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T13:26:01.912595-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,7a60ef52-8372-450d-b339-e0a9c4b36168
2026-08-21T13:45:55.466673-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T13:45:55.466673-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,64a989b9-c6a8-4887-af58-e25971af21e1
2026-08-21T13:50:53.866797-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T13:50:53.866797-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,1c59410a-a50e-4d63-85e8-7b2406b38b4c
2026-08-21T13:55:52.304561-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T13:55:52.304561-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,517dad4d-56cf-4d7a-bd6f-6244e222ec04
2026-08-21T14:04:30.432723-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T14:04:30.432723-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,ffaa023d-424e-4452-a417-498fa73b2a5f
2026-08-21T14:05:54.415435-04:00,orphan_adopt,ORPHAN,WMT260821C00110000,1,0.09,9.0,broker_position_untracked,,orphan:WMT260821C00110000
2026-08-21T14:05:54.415435-04:00,exit,ORPHAN,WMT260821C00110000,1,,,stop_loss (-100.0%),-100.0,4aee5731-e627-4757-85e1-cd09bfd4607e
