run_stamp,run_number,run_id,live_exit,options_exit,live_duration_s,options_duration_s,event_type
20260810T010253Z,6522,31346013650,0,0,2,0,schedule
20260810T031609Z,6523,31352089350,0,0,2,0,schedule
20260810T130044Z,6524,31390674477,0,0,2,11,workflow_dispatch
20260810T130548Z,6525,31391088725,0,0,2,11,workflow_dispatch
20260810T130741Z,6526,31391253423,0,0,1,11,schedule
20260810T131050Z,6527,31391508555,0,0,2,9,workflow_dispatch
20260810T131554Z,6528,31391933247,0,0,2,10,workflow_dispatch
20260810T132141Z,6529,31392360681,0,0,1,10,workflow_dispatch
20260810T132550Z,6530,31392772050,0,0,1,11,workflow_dispatch
20260810T133058Z,6531,31393197319,0,0,216,0,workflow_dispatch
20260810T140145Z,6537,31395784374,0,0,3,149,workflow_dispatch
20260810T140558Z,6538,31396232331,0,0,2,137,workflow_dispatch
20260810T141630Z,6540,31397128801,0,0,2,91,workflow_dispatch
20260810T142047Z,6541,31397578597,0,0,2,93,workflow_dispatch
20260810T142601Z,6542,31398028528,0,0,2,94,workflow_dispatch
20260810T143316Z,6544,31398578213,0,0,2,0,schedule
20260810T143622Z,6545,31398940190,0,0,2,105,workflow_dispatch
20260810T144043Z,6546,31399392782,0,0,1,83,workflow_dispatch
20260810T144553Z,6547,31399843134,0,0,2,170,workflow_dispatch
20260810T145052Z,6548,31400301446,0,0,2,85,workflow_dispatch
20260810T145956Z,6549,31400753551,0,0,2,0,workflow_dispatch
20260810T150137Z,6550,31401211254,0,0,2,129,workflow_dispatch
20260810T150559Z,6551,31401657485,0,0,1,93,workflow_dispatch
20260810T151053Z,6552,31402114766,0,0,3,95,workflow_dispatch
20260810T151553Z,6553,31402559453,0,0,2,105,workflow_dispatch
20260810T152116Z,6554,31403004384,0,0,2,126,workflow_dispatch
20260810T153437Z,6557,31404183767,0,0,2,0,schedule
20260810T153621Z,6558,31404388040,0,0,1,30,workflow_dispatch
20260810T154656Z,6560,31405272492,0,0,2,31,workflow_dispatch
20260810T155043Z,6561,31405724358,0,0,1,26,workflow_dispatch
20260810T155608Z,6562,31406165831,0,0,2,33,workflow_dispatch
20260810T160051Z,6563,31406607996,0,0,2,69,workflow_dispatch
20260810T161559Z,6566,31407950528,0,0,3,35,workflow_dispatch
20260810T162046Z,6567,31408384985,0,0,2,33,workflow_dispatch
20260810T162612Z,6568,31408825968,0,0,2,22,workflow_dispatch
20260810T162732Z,6569,31408985371,0,0,1,25,schedule
20260810T163110Z,6570,31409265689,0,0,2,60,workflow_dispatch
20260810T163601Z,6571,31409708130,0,0,2,38,workflow_dispatch
20260810T164047Z,6572,31410131165,0,0,2,29,workflow_dispatch
20260810T164544Z,6573,31410555371,0,0,1,36,workflow_dispatch
20260810T170004Z,6575,31411400950,0,0,1,0,workflow_dispatch
20260810T170114Z,6576,31411819621,0,0,3,48,workflow_dispatch
20260810T170547Z,6577,31412244314,0,0,1,37,workflow_dispatch
20260810T171626Z,6579,31413078013,0,0,2,27,workflow_dispatch
20260810T173051Z,6583,31414323694,0,0,1,47,workflow_dispatch
20260810T173544Z,6584,31414740144,0,0,3,30,workflow_dispatch
20260810T174055Z,6585,31415160020,0,0,2,24,workflow_dispatch
20260810T175128Z,6587,31416004489,0,0,2,18,workflow_dispatch
20260810T175544Z,6588,31416424439,0,0,1,24,workflow_dispatch
20260810T180055Z,6589,31416847054,0,0,2,46,workflow_dispatch
20260810T180549Z,6590,31417273320,0,0,2,31,workflow_dispatch
20260810T181049Z,6591,31417694896,0,0,2,25,workflow_dispatch
20260810T181552Z,6592,31418115814,0,0,2,35,workflow_dispatch
20260810T182050Z,6593,31418536906,0,0,2,28,workflow_dispatch
20260810T182543Z,6595,31418952921,0,0,2,17,workflow_dispatch
20260810T183048Z,6596,31419373668,0,0,2,47,workflow_dispatch
20260810T183847Z,6597,31419803352,0,0,2,15,workflow_dispatch
20260810T184048Z,6598,31420224886,0,0,2,21,workflow_dispatch
20260810T184544Z,6599,31420647507,0,0,2,31,workflow_dispatch
20260810T185043Z,6600,31421063614,0,0,2,16,workflow_dispatch
20260810T185545Z,6601,31421484031,0,0,1,18,workflow_dispatch
20260810T190414Z,6602,31421903721,0,0,2,21,workflow_dispatch
20260810T190738Z,6603,31422329649,0,0,1,16,workflow_dispatch
20260810T191048Z,6604,31422742727,0,0,2,25,workflow_dispatch
20260810T191548Z,6605,31423151315,0,0,3,28,workflow_dispatch
20260810T192051Z,6606,31423561407,0,0,2,24,workflow_dispatch
20260810T192545Z,6607,31423975361,0,0,3,26,workflow_dispatch
20260810T193619Z,6610,31424804627,0,0,223,0,workflow_dispatch
20260810T200111Z,6615,31426864994,0,0,1,23,workflow_dispatch
20260810T200718Z,6616,31427271999,0,0,2,9,workflow_dispatch
20260810T201052Z,6617,31427683507,0,0,3,11,workflow_dispatch
20260810T201230Z,6618,31427826465,0,0,2,11,schedule
20260810T201557Z,6619,31428090326,0,0,2,9,workflow_dispatch
20260810T202045Z,6620,31428501004,0,0,1,10,workflow_dispatch
20260810T202549Z,6621,31428914668,0,0,2,9,workflow_dispatch
20260810T203046Z,6622,31429325571,0,0,1,11,workflow_dispatch
20260810T203554Z,6623,31429731491,0,0,2,10,workflow_dispatch
20260810T204046Z,6624,31430139911,0,0,1,10,workflow_dispatch
20260810T204924Z,6625,31430542596,0,0,2,9,workflow_dispatch
20260810T205054Z,6626,31430947429,0,0,3,10,workflow_dispatch
20260810T205849Z,6627,31431352026,0,0,1,10,workflow_dispatch
20260810T210100Z,6628,31431755790,0,0,3,7,workflow_dispatch
20260810T210342Z,6629,31431994678,0,0,2,9,schedule
20260810T210544Z,6630,31432159611,0,0,2,10,workflow_dispatch
20260810T211057Z,6631,31432562718,0,0,3,7,workflow_dispatch
20260810T211547Z,6632,31432957098,0,0,2,10,workflow_dispatch
20260810T212223Z,6633,31433351356,0,0,2,8,workflow_dispatch
20260810T212545Z,6634,31433740231,0,0,1,10,workflow_dispatch
20260810T213051Z,6635,31434128556,0,0,2,9,workflow_dispatch
20260810T213547Z,6636,31434514507,0,0,2,11,workflow_dispatch
20260810T214047Z,6637,31434890384,0,0,3,10,workflow_dispatch
20260810T214715Z,6638,31435268907,0,0,1,10,workflow_dispatch
20260810T215043Z,6639,31435644907,0,0,2,9,workflow_dispatch
20260810T215410Z,6640,31435903640,0,0,1,10,schedule
20260810T215612Z,6641,31436024171,0,0,2,9,workflow_dispatch
20260810T220054Z,6642,31436392074,0,0,2,11,workflow_dispatch
20260810T220550Z,6643,31436766340,0,0,2,9,workflow_dispatch
20260810T221150Z,6644,31437131981,0,0,1,9,workflow_dispatch
20260810T221616Z,6645,31437494189,0,0,2,11,workflow_dispatch
20260810T222044Z,6646,31437846073,0,0,1,10,workflow_dispatch
