run_stamp,run_number,run_id,live_exit,live_options_exit,options_exit,live_duration_s,live_options_duration_s,options_duration_s,event_type
20260831T130114Z,8524,33394587436,0,0,0,2,1,8,workflow_dispatch
20260831T130557Z,8525,33395021440,0,0,0,2,2,12,workflow_dispatch
20260831T131057Z,8526,33395464750,0,0,0,2,0,8,workflow_dispatch
20260831T131555Z,8527,33395923139,0,0,0,2,1,10,workflow_dispatch
20260831T132100Z,8528,33396386245,0,0,0,3,1,11,workflow_dispatch
20260831T132606Z,8529,33396851732,0,0,0,2,1,12,workflow_dispatch
20260831T133108Z,8530,33397301313,0,0,0,217,1,7,workflow_dispatch
20260831T133617Z,8531,33397759280,0,0,0,217,1,8,workflow_dispatch
20260831T134114Z,8532,33398219903,0,0,0,215,0,10,workflow_dispatch
20260831T134603Z,8533,33398670318,0,0,0,243,1,9,workflow_dispatch
20260831T135627Z,8535,33399607401,0,0,0,2,2,10,workflow_dispatch
20260831T140057Z,8536,33400072853,0,0,0,3,2,10,workflow_dispatch
20260831T140602Z,8537,33400556764,0,0,0,4,1,6,workflow_dispatch
20260831T141102Z,8538,33401045369,0,0,0,5,1,8,workflow_dispatch
20260831T141712Z,8539,33401529006,0,0,0,2,1,8,workflow_dispatch
20260831T142103Z,8540,33402008712,0,0,0,3,2,10,workflow_dispatch
20260831T142600Z,8541,33402494594,0,0,0,2,1,10,workflow_dispatch
