run_stamp,run_number,run_id,live_exit,live_options_exit,options_exit,live_duration_s,live_options_duration_s,options_duration_s,event_type
20260827T130101Z,8260,33074582781,0,0,0,1,1,9,workflow_dispatch
20260827T130557Z,8261,33075001268,0,0,0,3,1,10,workflow_dispatch
20260827T131059Z,8262,33075418572,0,0,0,2,1,9,workflow_dispatch
20260827T131759Z,8263,33075847063,0,0,0,1,1,9,workflow_dispatch
20260827T132342Z,8264,33076274558,0,0,0,2,1,10,workflow_dispatch
20260827T132555Z,8265,33076705414,0,0,0,2,1,10,workflow_dispatch
20260827T133053Z,8266,33077136525,0,0,0,217,7,0,workflow_dispatch
20260827T133629Z,8267,33077580171,0,0,0,215,7,0,workflow_dispatch
20260827T134951Z,8269,33078466190,0,0,0,0,0,0,workflow_dispatch
20260827T135123Z,8270,33078915062,0,0,0,239,3,0,workflow_dispatch
20260827T135654Z,8271,33079364994,0,0,0,0,0,0,workflow_dispatch
20260827T140141Z,8272,33079816718,0,0,0,2,3,55,workflow_dispatch
20260827T140552Z,8273,33080276331,0,0,0,1,3,62,workflow_dispatch
20260827T141135Z,8274,33080729156,0,0,0,2,2,62,workflow_dispatch
20260827T141620Z,8275,33081185358,0,0,0,4,3,44,workflow_dispatch
20260827T142101Z,8276,33081651045,0,0,0,2,2,44,workflow_dispatch
20260827T142559Z,8277,33082112054,0,0,0,2,4,65,workflow_dispatch
20260827T143054Z,8278,33082572763,0,0,0,2,2,56,workflow_dispatch
20260827T143559Z,8279,33083042061,0,0,0,2,4,65,workflow_dispatch
20260827T144054Z,8280,33083497676,0,0,0,2,2,56,workflow_dispatch
20260827T144607Z,8281,33083966944,0,0,0,4,2,35,workflow_dispatch
20260827T145348Z,8282,33084436892,0,0,0,3,3,65,workflow_dispatch
20260827T145613Z,8283,33084900293,0,0,0,4,3,66,workflow_dispatch
20260827T150102Z,8284,33085377031,0,0,0,2,2,55,workflow_dispatch
20260827T150610Z,8285,33085850453,0,0,0,2,3,43,workflow_dispatch
20260827T151132Z,8286,33086312023,0,0,0,3,2,36,workflow_dispatch
20260827T152158Z,8288,33087231506,0,0,0,3,3,64,workflow_dispatch
20260827T152601Z,8289,33087686050,0,0,0,2,4,59,workflow_dispatch
20260827T153102Z,8290,33088142447,0,0,0,2,1,43,workflow_dispatch
