ts,event,bucket_id,profile,strategy_id,lot_id,symbol,occ,qty,limit,fill_price,cost,return_pct,pnl_usd,reason,buy_offset,sell_offset,take_profit,stop_loss,spread_frac,detail
2026-07-06T09:34:30.695185-04:00,entry,76,g076_eod_tp30_sl20,S173,400b8d94b073,PLTR,PLTR260710C00138000,1,0.89,,99.0,,,,-0.1,,0.6,-0.4,0.041,MR gap -1.6% green
2026-07-06T10:03:38.403491-04:00,entry,76,g076_eod_tp30_sl20,S174,32aeb3e0db65,ADBE,ADBE260710C00230000,1,0.7,,80.0,,,,-0.1,,0.3,-0.2,0.177,RB gap -1.6% reclaim
2026-07-06T15:34:23.002889-04:00,exit,76,g076_eod_tp30_sl20,S174,32aeb3e0db65,ADBE,ADBE260710C00230000,1,,,80.0,34.25,27.4,EOD,,-0.05,0.3,-0.2,,
